Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
490,0.6948503851890564,0,18,5,0,13,6,52
490,0,7.591954231262207,0,0,0,14,2,39
500,0.5649780035018921,0,21,5,0,11,5,53
500,0,7.200262546539307,0,0,0,14,2,39
510,0.9295694828033447,0,18,6,0,10,6,53
510,0,7.759373664855957,0,0,0,12,1,41
520,0.8107686042785645,0,14,8,0,12,7,53
520,0,7.593438148498535,0,0,0,15,2,39
530,0.7428878545761108,0,15,9,0,12,4,53
530,0,7.9017863273620605,0,0,0,13,1,38
540,0.7244600653648376,0,17,8,0,14,4,53
540,0,7.997433185577393,0,0,0,15,1,40
550,1.0108197927474976,0,14,6,0,14,8,53
550,0,7.425664901733398,0,0,0,13,1,38
560,0.8376491069793701,0,19,5,0,12,6,51
560,0,7.207939147949219,0,0,0,14,1,38
570,1.1057184934616089,0,20,4,0,13,5,52
570,0,8.036184310913086,0,0,0,14,2,40
580,0.6502442359924316,0,17,9,0,12,4,51
580,0,7.992375373840332,0,0,0,13,1,39
590,0.5714868903160095,0,20,6,0,15,5,51
590,0,7.7168660163879395,0,0,0,13,1,40
600,0.5851284265518188,0,18,6,0,14,8,51
600,0,8.628440856933594,0,0,0,10,1,40
610,0.6543825268745422,0,15,11,0,15,4,52
610,0,8.523542404174805,0,0,0,11,1,40
620,0.7496411800384521,0,18,9,0,11,4,52
620,0,7.697121620178223,0,0,0,12,1,39
630,0.6943170428276062,0,20,3,0,11,6,51
630,0,8.487698554992676,0,0,0,14,1,40
