Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
360,0,14.4535551071167,0,0,0,14,0,72
370,0.8611512184143066,0,10,5,0,25,0,52
370,0,13.442581176757812,0,0,0,13,0,70
380,0.9105095863342285,0,10,4,0,17,1,51
380,0,14.212528228759766,0,0,0,14,0,73
390,1.1111464500427246,0,8,6,0,24,0,53
390,0,15.781906127929688,0,0,0,10,0,73
400,0.6904883980751038,0,11,5,0,20,0,51
400,0,13.705010414123535,0,0,0,8,0,68
410,0.5450208187103271,0,12,3,0,20,3,52
410,0,14.021246910095215,0,0,0,10,1,67
420,0.7052631974220276,0,10,5,0,19,3,52
420,0,13.587900161743164,0,0,0,10,0,68
430,0.5235555768013,0,10,2,0,24,1,52
430,0,13.969345092773438,0,0,0,10,0,70
440,0.9101089239120483,0,11,2,0,21,1,51
440,0,14.92104721069336,0,0,0,9,0,74
450,0.8240664005279541,0,14,3,0,17,1,53
450,0,12.411700248718262,0,0,0,11,0,65
460,0.584943413734436,0,13,4,0,20,0,51
460,0,14.291658401489258,0,0,0,16,0,70
470,0.5250121355056763,0,13,2,0,23,0,52
470,0,14.382394790649414,0,0,0,10,0,70
480,0.5842188000679016,0,11,1,0,22,0,50
480,0,13.978297233581543,0,0,0,13,0,72
490,0.8342602849006653,0,10,4,0,22,1,52
490,0,13.538049697875977,0,0,0,14,0,70
500,0.6151012182235718,0,9,5,0,17,2,52
500,0,13.8096284866333,0,0,0,15,0,71
510,0.46208488941192627,0,9,4,0,23,2,53
510,0,13.183712005615234,0,0,0,13,0,71
520,0.63986736536026,0,9,6,0,20,1,51
520,0,15.288341522216797,0,0,0,10,0,72
530,0.6262606382369995,0,9,4,0,22,1,51
530,0,12.533944129943848,0,0,0,16,0,69
540,0.8456302881240845,0,11,2,0,22,0,51
540,0,14.756784439086914,0,0,0,13,0,75
550,0.5571925044059753,0,11,3,0,24,1,53
550,0,14.097528457641602,0,0,0,10,0,70
560,0.6602551937103271,0,10,4,0,24,0,52
560,0,14.561896324157715,0,0,0,13,0,71
570,0.5677192211151123,0,9,3,0,26,1,50
570,0,13.618576049804688,0,0,0,13,0,69
580,0.7705267667770386,0,11,6,0,21,0,52
580,0,14.642284393310547,0,0,0,9,1,71
590,0.6362641453742981,0,13,5,0,22,1,53
590,0,14.398130416870117,0,0,0,17,0,72
600,0.7360597848892212,0,14,3,0,21,1,52
600,0,13.491253852844238,0,0,0,14,0,70
610,0.4569515287876129,0,10,2,0,21,0,52
610,0,13.568832397460938,0,0,0,14,0,73
620,0.7598628401756287,0,11,4,0,23,2,54
620,0,14.922966957092285,0,0,0,12,0,72
630,0.5481441020965576,0,14,3,0,23,0,53
630,0,13.963883399963379,0,0,0,10,1,69
