Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes,TP_class_loca_good,FP_class_bad_IOU_good,FP_class_good_IOU_bad,FP_class_IOU_good,FN_class_good_IOU_bad,FN_class_bad_IOU_good,FN_class_bad_IOU_bad
61,0,3.0280039171458975,92,173,1934,140,6030,92,0,248,0,313,439,5186
62,2.7631855847676596,0,1294,2335,20862,1646,65752,1294,0,2529,0,3981,5040,55437
62,0,2.967065693585792,97,185,1867,150,5981,97,0,282,0,335,420,5129
63,2.70771707611084,0,1576,2740,20137,1844,65841,1576,0,2608,0,4584,5046,54635
63,0,2.845228356674087,128,212,1866,162,5987,128,0,248,0,374,382,5103
64,2.6622700251261393,0,1764,3137,20122,1877,65734,1764,0,2926,0,5014,4838,54118
64,0,2.82534567503251,112,244,1797,179,5938,112,0,275,0,423,440,4963
65,2.606059752400716,0,1880,3426,19835,2033,65618,1880,0,3071,0,5459,5002,53277
65,0,2.809175211569655,147,300,1768,238,5999,147,0,327,0,538,403,4911
66,2.580455460611979,0,2083,3665,19551,2206,65853,2083,0,3188,0,5871,4819,53080
66,0,2.7522297337557187,170,293,1755,207,5954,170,0,332,0,500,409,4875
67,2.5182270462036134,0,2259,4024,19409,2297,65672,2259,0,3512,0,6321,4990,52102
67,0,2.6949755218539857,165,338,1709,249,5953,165,0,323,0,587,451,4750
68,2.497338857269287,0,2430,4319,19111,2490,65863,2430,0,3672,0,6809,4942,51682
68,0,2.6744473521434107,215,418,1621,267,6009,215,0,408,0,685,427,4682
69,2.4466815366109214,0,2722,4787,18647,2770,65671,2722,0,3877,0,7557,4829,50563
69,0,2.640447644199353,226,366,1771,205,6021,226,0,333,0,571,425,4799
70,2.416491465504964,0,2841,5063,18736,2810,65704,2841,0,4015,0,7873,4800,50190
70,0,2.626409313203321,235,463,1618,309,5983,235,0,463,0,772,392,4584
71,2.3886533734639483,0,3057,5381,18434,3022,65690,3057,0,4283,0,8403,4739,49491
71,0,2.546411782713393,238,430,1723,283,5936,238,0,355,0,713,415,4570
72,2.3443496388753253,0,3213,5704,17933,3251,65610,3213,0,4443,0,8955,4760,48682
72,0,2.5507605630936254,230,482,1644,313,6005,230,0,398,0,795,405,4575
73,2.3219754117329914,0,3509,6067,17724,3492,65880,3509,0,4550,0,9559,4673,48139
73,0,2.495923797304286,285,577,1601,308,5961,285,0,458,0,885,367,4424
74,2.293161961619059,0,3594,6454,17839,3659,65844,3594,0,4723,0,10113,4529,47608
74,0,2.473075747711261,298,586,1514,377,5928,298,0,474,0,963,361,4306
75,2.2585883483886717,0,3847,6732,17371,3932,65691,3847,0,4935,0,10664,4466,46714
75,0,2.4446730934196896,289,590,1582,413,5996,289,0,463,0,1003,382,4322
76,2.226318548075358,0,3938,7165,17181,4059,65738,3938,0,4925,0,11224,4456,46120
76,0,2.448484504351242,327,608,1559,414,5973,327,0,491,0,1022,371,4253
77,2.2082245516459147,0,4218,7396,16831,4175,65872,4218,0,5057,0,11571,4407,45676
77,0,2.4380282303944334,300,652,1508,423,6002,300,0,482,0,1075,400,4227
78,2.17595912399292,0,4395,7739,16551,4523,65791,4395,0,5169,0,12262,4332,44802
78,0,2.3880301361140646,317,643,1541,427,5961,317,0,487,0,1070,393,4181
79,2.1517302327473957,0,4554,7882,16563,4445,65794,4554,0,5434,0,12327,4471,44442
79,0,2.364368541418643,349,676,1454,466,5997,349,0,493,0,1142,370,4136
80,2.129398566691081,0,4718,8218,16456,4550,65832,4718,0,5485,0,12768,4326,44020
80,0,2.357936540413115,322,665,1513,422,5955,322,0,481,0,1087,388,4158
